time,temp,voltage,current,power
1777636898.0300164,0,0,0,0
1777636900.2209606,0,0,0,0
1777636900.7843418,33.8,3.4,0.0,0.0
1777636901.3450022,33.8,3.4,0.0,0.0
1777636901.9966748,33.8,3.4,0.0,0.0
1777636902.8686845,33.3,3.4,0.0,0.0
1777636903.7202604,33.3,3.4,0.0,0.0
1777636904.568181,33.3,3.4,0.0,0.0
1777636905.4378526,33.3,3.4,0.0,0.0
1777636906.2892063,33.3,3.4,0.0,0.0
1777636907.134728,33.3,3.4,0.0,0.0
1777636908.0085201,33.3,3.4,0.0,0.0
1777636908.8558912,33.3,3.4,0.0,0.0
1777636909.7041745,33.3,3.4,0.0,0.0
1777636910.5791984,33.3,3.4,0.0,0.0
1777636911.427631,33.3,3.4,0.0,0.0
1777636912.2755392,33.3,3.4,0.0,0.0
1777636913.1459947,33.3,3.4,0.0,0.0
1777636913.993486,33.3,3.4,0.0,0.0
1777636914.8444486,33.3,3.4,0.0,0.0
1777636915.7174706,33.3,3.4,0.0,0.0
1777636916.5654707,33.3,3.4,0.0,0.0
1777636917.4108603,33.3,3.4,0.0,0.0
1777636918.284551,33.3,3.4,0.0,0.0
1777636919.1315296,33.3,3.4,0.0,0.0
1777636919.9796672,33.3,3.4,0.0,0.0
1777636920.8535907,33.3,3.4,0.0,0.0
1777636921.7035825,33.3,3.4,0.0,0.0
1777636922.548702,33.3,3.4,0.0,0.0
1777636923.4250169,33.3,3.4,0.0,0.0
1777636924.269614,33.3,3.4,0.0,0.0
1777636925.1180186,33.3,3.4,0.0,0.0
1777636925.9904017,33.3,3.4,0.0,0.0
1777636926.840256,33.3,3.4,0.14,1.02
1777636927.6872222,33.3,3.4,0.26,1.02
1777636928.5612996,33.5,3.4,0.34,1.02
1777636929.4083538,33.5,3.4,0.41,1.02
1777636930.2574058,33.5,3.4,0.47,1.02
1777636931.130725,33.7,3.4,0.51,1.02
1777636931.9777532,33.7,3.4,0.55,1.02
1777636932.8268068,33.7,3.4,0.59,1.02
1777636933.6996193,33.8,3.4,0.62,1.02
1777636934.5468562,33.8,3.4,0.64,1.02
1777636935.395651,33.8,3.4,0.66,1.02
1777636936.2685337,33.8,3.4,0.68,1.02
1777636937.1165848,33.8,3.4,0.69,1.02
1777636937.9639964,33.8,3.4,0.7,1.02
1777636938.8364885,33.8,3.4,0.7,1.03
1777636939.6859932,33.8,3.4,0.7,1.1
1777636940.5340123,33.8,3.4,0.7,1.16
1777636941.4740765,0.0,3.4,0.68,1.22
1777636942.3264756,0.0,3.4,0.65,1.27
1777636943.1746209,0.0,3.4,0.61,1.31
1777636944.0438643,33.8,3.4,0.59,1.35
1777636944.8920903,33.8,3.4,0.57,1.37
1777636945.7401333,33.8,3.4,0.55,1.4
1777636946.6143334,33.8,3.4,0.54,1.42
1777636947.4613395,33.8,3.4,0.53,1.44
1777636948.3093522,33.8,3.4,0.52,1.46
1777636949.183519,33.8,3.4,0.52,1.47
1777636950.0314949,33.8,3.4,0.51,1.49
1777636950.8809083,33.8,3.4,0.51,1.5
1777636951.752366,33.8,3.4,0.51,1.51
1777636952.5994697,33.8,3.4,0.51,1.52
1777636953.4474998,33.8,3.4,0.5,1.53
1777636954.3202531,33.8,3.4,0.5,1.54
1777636955.1693094,33.8,3.4,0.5,1.55
1777636956.0169804,33.8,3.4,0.5,1.55
1777636956.8903162,33.8,3.4,0.5,1.56
1777636957.738043,33.8,3.4,0.5,1.57
1777636958.585738,33.8,3.4,0.5,1.58
1777636959.4586425,33.8,3.4,0.5,1.58
1777636960.308161,33.8,3.4,0.5,1.59
1777636961.1567457,33.8,3.4,0.5,1.59
1777636962.02882,33.8,3.4,0.5,1.6
1777636962.8763971,33.8,3.4,0.5,1.6
1777636963.7242217,33.8,3.4,0.49,1.61
1777636964.5986567,33.8,3.4,0.49,1.61
1777636965.4452233,33.8,3.4,0.49,1.61
1777636966.2947922,33.8,3.4,0.49,1.62
1777636967.166055,33.8,3.4,0.49,1.62
1777636968.015845,33.8,3.4,0.48,1.62
1777636968.8627682,33.8,3.4,0.39,1.6
1777636969.7364185,33.8,3.4,0.31,1.58
1777636970.584502,33.8,3.4,0.25,1.54
1777636971.4316301,33.8,3.4,0.2,1.5
1777636972.304287,33.8,3.4,0.16,1.45
1777636973.1540601,33.8,3.4,0.13,1.4
1777636974.000479,33.8,3.4,0.1,1.35
1777636974.872706,33.8,3.4,0.08,0.0
1777636975.7209609,33.8,3.4,0.07,0.0
1777636976.5696528,33.8,3.4,0.05,0.0
1777636977.445135,33.8,3.4,0.04,0.0
1777636978.2940812,33.8,3.4,0.03,0.0
1777636979.1391292,33.8,3.4,0.03,0.0
1777636980.011062,33.8,3.4,0.02,0.0
1777636980.8591354,33.8,3.4,0.02,0.0
1777636981.7091706,33.8,3.4,0.01,0.0
1777636982.580232,33.8,3.4,0.01,0.0
1777636983.429819,33.8,3.4,0.01,0.0
1777636984.280303,33.8,3.4,0.01,0.0
1777636985.1533604,33.8,3.4,0.01,0.0
1777636985.9994543,33.8,3.4,0.0,0.0
1777636986.8469694,33.8,3.4,0.0,0.0
1777636987.7193336,33.8,3.4,0.0,0.0
1777636988.5704947,33.8,3.4,0.0,0.0
1777636989.416274,33.8,3.4,0.0,0.0
1777636990.2873704,33.8,3.4,0.0,0.0
1777636991.1370008,33.8,3.4,0.0,0.0
1777636991.9850318,33.8,3.4,0.0,0.0
1777636992.8605666,33.8,3.4,0.0,0.0
1777636993.705309,33.8,3.4,0.0,0.0
1777636994.5536172,33.8,3.4,0.0,0.0
1777636995.429622,33.8,3.4,0.0,0.0
1777636996.2743118,33.8,3.4,0.0,0.0
1777636997.1225564,33.8,3.4,0.0,0.0
1777636997.9953032,33.8,3.4,0.0,0.0
1777636998.8446808,33.8,3.4,0.0,0.0
1777636999.6916165,33.8,3.4,0.0,0.0
1777637000.567933,33.8,3.4,0.0,0.0
1777637001.4158068,33.8,3.4,0.0,0.0
1777637002.2639925,33.8,3.4,0.0,0.0
1777637003.1334727,33.8,3.4,0.0,0.0
1777637003.9816184,33.8,3.4,0.0,0.0
1777637004.8296733,33.8,3.4,0.0,0.0
1777637005.702896,33.8,3.4,0.0,0.0
1777637006.5508087,33.8,3.4,0.0,0.0
1777637007.3999157,33.8,3.4,0.0,0.0
1777637008.2719047,33.8,3.4,0.0,0.0
1777637417.8742723,0,0,0,0
1777637419.4904807,0,0,0,0
1777637420.1433866,33.8,3.4,0.0,0.0
1777637420.991114,33.8,3.4,0.0,0.0
1777637421.8400476,33.8,3.4,0.0,0.0
1777637422.7108731,33.3,3.4,0.0,0.0
1777637423.5635393,33.3,3.4,0.0,0.0
1777637424.4072077,33.3,3.4,0.0,0.0
1777637425.2814314,33.3,3.4,0.0,0.0
1777637426.1297233,33.3,3.4,0.0,0.0
1777637426.976944,33.3,3.4,0.0,0.0
1777637427.8505404,33.3,3.4,0.0,0.0
1777637428.6987221,33.3,3.4,0.0,0.0
1777637429.5459282,33.3,3.4,0.0,0.0
1777637430.420251,33.3,3.4,0.0,0.0
1777637431.2674265,33.3,3.4,0.0,0.0
1777637432.118386,33.3,3.4,0.0,0.0
